product_name,price,product_details_link,product_image_link,last_updated_at_IST
Field Of Lavender Co-ord,9000.00,https://www.thereyougo.in/collections/all-products/products/field-of-lavender-co-ord,https://cdn.shopify.com/s/files/1/2645/5324/products/there20211279_300x300.jpg?v=1628334011,18-Dec-2021 00:01:57
Tie me Knot Dress,3000.00,https://www.thereyougo.in/collections/all-products/products/tie-me-knot-dress,https://cdn.shopify.com/s/files/1/2645/5324/products/there20211228_300x300.jpg?v=1628328802,18-Dec-2021 00:01:57
3 Piece Safari Co-ord,10000.00,https://www.thereyougo.in/collections/all-products/products/safari-co-ord,https://cdn.shopify.com/s/files/1/2645/5324/products/there20212256_300x300.jpg?v=1628403580,18-Dec-2021 00:01:57
Feels Like Summer Co-ord,6500.00,https://www.thereyougo.in/collections/all-products/products/feels-like-summer-6500,https://cdn.shopify.com/s/files/1/2645/5324/products/there20211510copy_300x300.jpg?v=1628327814,18-Dec-2021 00:01:57
Grass Is Green On Every Side,4200.00,https://www.thereyougo.in/collections/all-products/products/grass-is-green-on-every-side,https://cdn.shopify.com/s/files/1/2645/5324/products/there20211425_300x300.jpg?v=1628406216,18-Dec-2021 00:01:57
Deeper Than The Deep Blue Sea Playsuit,3800.00,https://www.thereyougo.in/collections/all-products/products/deeper-than-the-deep-blue-sea-playsuit,https://cdn.shopify.com/s/files/1/2645/5324/products/there20211640_300x300.jpg?v=1628427442,18-Dec-2021 00:01:57
Metamorphosis Co-ord,8000.00,https://www.thereyougo.in/collections/all-products/products/metamorphosis-co-ord,https://cdn.shopify.com/s/files/1/2645/5324/products/there20211339_300x300.jpg?v=1628427171,18-Dec-2021 00:01:57
Semi circle patchwork pouch,800.00,https://www.thereyougo.in/collections/all-products/products/semi-circle-patchwork-pouch,https://cdn.shopify.com/s/files/1/2645/5324/products/there20212132_300x300.jpg?v=1628406700,18-Dec-2021 00:01:57
Rectangle patch work pouch,800.00,https://www.thereyougo.in/collections/all-products/products/rectangle-patch-work-pouch,https://cdn.shopify.com/s/files/1/2645/5324/products/there20212169_300x300.jpg?v=1628406648,18-Dec-2021 00:01:57
Shades Of Blue Co-ord,7500.00,https://www.thereyougo.in/collections/all-products/products/shades-of-blue-co-ord,https://cdn.shopify.com/s/files/1/2645/5324/products/m1568_300x300.jpg?v=1628405039,18-Dec-2021 00:01:57
