,ProductName,ProductURL,PriceINR
0,Athena Crafted,https://www.thereyougo.in//collections/all/products/athena-crafted,3200.00
1,Backpack Edition,https://www.thereyougo.in//collections/all/products/backpack-edition,3500.00
2,Bare that back Top,https://www.thereyougo.in//collections/all/products/bare-that-back-denim,2800.00
3,Beach Bums,https://www.thereyougo.in//collections/all/products/beach-bums,2400.00
4,Boho Jogger,https://www.thereyougo.in//collections/all/products/boho-jogger,3500.00
5,Bottle Green Pleated Pants & Top,https://www.thereyougo.in//collections/all/products/bottle-green-pleated-pants-top,7500.00
6,Bow Tied,https://www.thereyougo.in//collections/all/products/bow-tied,2800.00
7,Cherry Blossom Scarf,https://www.thereyougo.in//collections/all/products/cherry-blossom-scarf,4000.00
8,Cotton Candy,https://www.thereyougo.in//collections/all/products/cotton-candy,2800.00
9,Cow Girl Denim (JEANS),https://www.thereyougo.in//collections/all/products/cow-girl-denim,3200.00
10,Cross & Knots,https://www.thereyougo.in//collections/all/products/cross-knots,2400.00
11,Denim Belt,https://www.thereyougo.in//collections/all/products/denim-belt,1800.00
12,Denim Blazer and Pant Set,https://www.thereyougo.in//collections/all/products/denim-blazer-and-pant-set,8000.00
13,Denim Crop Top,https://www.thereyougo.in//collections/all/products/denim-crop-top,3000.00
14,Denim Elastic Belt,https://www.thereyougo.in//collections/all/products/denim-elastic-belt,1500.00
15,Denim Flared Slit Pants,https://www.thereyougo.in//collections/all/products/denim-flared-slit-pants,4000.00
16,Denim Poncho,https://www.thereyougo.in//collections/all/products/denim-poncho,4000.00
17,Denim Scrunchie,https://www.thereyougo.in//collections/all/products/denim-scrunchie,400.00
18,Denim Silk Dress,https://www.thereyougo.in//collections/all/products/denim-silk-dress,5000.00
19,Denim Wrap Dress,https://www.thereyougo.in//collections/all/products/denim-wrap-dress,3500.00
20,Double Coloured Pant Suit,https://www.thereyougo.in//collections/all/products/double-coloured-pant-suit,5000.00
21,Dress - All,https://www.thereyougo.in//collections/all/products/dress-all,2700.00
22,Dual Coloured Set,https://www.thereyougo.in//collections/all/products/dual-coloured-set,7500.00
23,Duan Qun (Skirt),https://www.thereyougo.in//collections/all/products/duan-qun-skirt,2600.00
24,Embroidered Pleated Pants,https://www.thereyougo.in//collections/all/products/embroidered-pleated-pants,3500.00
25,Embroidered Pleated Top,https://www.thereyougo.in//collections/all/products/embroidered-pleated-top,4000.00
26,High Waist Slit Pants,https://www.thereyougo.in//collections/all/products/high-waist-slit-pants,3500.00
27,Hula Hoop Belt,https://www.thereyougo.in//collections/all/products/hula-hoop-belt,1000.00
